Overall Proficiency,Science Proficiency,Math Proficiency,freeReduced,ASD Population,Distances,Facility,Amherst Middle School,Boynton Middle School,Elm Street Middle School,Fairgrounds Middle School,Great Brook School,Henry J. McLaughlin Middle School,Hillsboro-Deering Middle School,Hillside Middle School,Hollis Brookline Middle School,Hudson Memorial School,Litchfield Middle School,Merrimack Middle School,Middle School At Parkside,Milford Middle School,Mountain View Middle School,Pelham Memorial School,Pennichuck Middle School,Ross A. Lurgio Middle School,South Meadow School,Southside Middle School,Weare Middle School
63.33333333,17,58,0.22675737,80,28.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44.66666667,30,74,0.545571245,80,16.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64.33333333,36,74,0.238197425,80,27.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,10,62,0.305,80,13.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.33333333,36,66,0.0890625,111,4.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,34,65,0.33427762,111,23.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.66666667,21,62,0.430488974,111,4.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.66666667,32,49,0.441558442,111,5.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,15,51,0.279352227,111,31,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.66666667,13,25,0.55,111,18.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.33333333,33,66,0.432624113,111,33.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.33333333,24,36,0.524449878,111,18.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60.66666667,28,40,0.024752475,111,8.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36.66666667,10,23,0.167048055,111,6.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40.33333333,10,23,0.086092715,111,11.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,12,15,0.087837838,111,7.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,11,34,0.699236641,111,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,17,34,0.203927492,111,8.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41.66666667,25,49,0.200684151,111,21.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,26,51,0.121272366,111,14.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29.66666667,25,33,0.441558442,111,3.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57.66666667,26,27,0.063225806,111,12.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48.33333333,12,29,0.226804124,111,28.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27.33333333,29,40,0.584447145,111,16.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42.66666667,26,40,0.216768916,111,27.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,11,37,0.2359,111,13.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
