yearid,Level of Data,Subject,DenominatorType,District,Discode,School,Schcode,Grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2022,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,8,50 - 55,42,30,20,< 10 %,28,72,547
2022,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,0,295 - 300,48,25,21,< 10 %,27,73,
2022,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,3,50 - 55,41,29,22,< 10 %,29,71,566
2022,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,4,50 - 55,49,21,19,11,30,70,577
2022,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,5,50 - 55,48,17,27,< 10 %,35,65,598
2022,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,6,40 - 45,52,32,16,< 10 %,16,84,600
2022,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,7,45 - 50,63,23,13,< 10 %,15,85,605
2022,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,8,50 - 55,38,28,30,< 10 %,34,66,642
2022,sch,sci,Regular,Barnstead,31,Barnstead Elementary School,22485,0,100 - 105,58,22,17,< 10 %,21,79,
2022,sch,sci,Regular,Barnstead,31,Barnstead Elementary School,22485,5,50 - 55,62,19,17,< 10 %,19,81,541
2022,sch,sci,Regular,Barnstead,31,Barnstead Elementary School,22485,8,50 - 55,54,24,16,< 10 %,22,78,844
2022,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,0,360 - 365,26,30,23,21,44,56,
2022,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,5,90 - 95,23,35,21,22,42,58,486
2022,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,6,85 - 90,18,23,32,27,59,41,525
2022,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,7,95 - 100,23,34,23,20,43,57,545
2022,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,8,85 - 90,42,28,15,14,29,71,545
2022,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,0,350 - 355,22,22,42,15,56,44,
2022,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,5,90 - 95,20,21,43,16,60,40,626
2022,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,6,85 - 90,14,21,47,18,65,35,652
2022,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,7,90 - 95,20,20,47,13,60,40,651
2022,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,8,80 - 85,34,26,28,12,40,60,642
2022,sch,sci,Regular,Barrington,33,Barrington Middle School,22030,0,170 - 175,41,23,22,14,36,64,
2022,sch,sci,Regular,Barrington,33,Barrington Middle School,22030,5,90 - 95,33,25,26,16,42,58,551
2022,sch,sci,Regular,Barrington,33,Barrington Middle School,22030,8,80 - 85,51,21,17,11,28,72,843
2022,sch,mat,Regular,Barrington,33,Barrington Elementary School,22045,0,180 - 185,16,31,33,20,52,48,
2022,sch,mat,Regular,Barrington,33,Barrington Elementary School,22045,3,90 - 95,20,27,34,18,53,47,431
2022,sch,mat,Regular,Barrington,33,Barrington Elementary School,22045,4,85 - 90,11,36,31,22,52,48,463
2022,sch,rea,Regular,Barrington,33,Barrington Elementary School,22045,0,180 - 185,28,25,26,22,47,53,
2022,sch,rea,Regular,Barrington,33,Barrington Elementary School,22045,3,95 - 100,23,26,28,22,51,49,584
2022,sch,rea,Regular,Barrington,33,Barrington Elementary School,22045,4,85 - 90,33,24,22,21,44,56,600
2022,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,0,95 - 100,38,31,18,14,32,68,
2022,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,3,15 - 20,80,20,< 10 %,< 10 %,< 10 %,> 90 %,395
2022,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,4,15 - 20,< 10 %,32,32,32,63,37,473
2022,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,5, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2022,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,6, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2022,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,7,25 - 30,35,42,15,< 10 %,23,77,526
2022,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,8,15 - 20,26,42,21,11,32,68,570
2022,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,0,95 - 100,20,31,39,10,49,51,
2022,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,3,15 - 20,47,47,< 10 %,< 10 %,< 10 %,> 90 %,550
2022,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,4,15 - 20,16,32,32,21,53,47,610
2022,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,5, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2022,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,6, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2022,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,7,25 - 30,15,23,50,12,62,38,647
2022,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,8,20 - 25,< 10 %,35,50,10,60,40,670
2022,sch,sci,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,0,25 - 30,30,33,26,11,37,63,
2022,sch,sci,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,5, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2022,sch,sci,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,8,20 - 25,35,35,30,< 10 %,30,70,847
2022,sch,mat,Regular,Bath,39,Bath Village School,20860,0,35 - 40,13,31,41,15,56,44,
