yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2016,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,5,15-Oct,<10,45,18,27,45,55,2523
2016,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,6,15 - 20,24,53,12,12,24,76,2522
2016,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,7,15 - 20,19,38,31,13,44,56,2554
2016,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,8,15 - 20,47,18,29,<10,35,65,2526
2016,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,0,95 - 100,<10,23,41,29,70,30,NULL
2016,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,3,15 - 20,<10,27,27,40,67,33,2455
2016,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,4,20 - 25,<10,29,24,48,71,29,2517
2016,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,5,15-Oct,<10,<10,73,27,>90,<10,2568
2016,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,6,15 - 20,<10,35,35,24,59,41,2555
2016,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,7,15 - 20,13,19,50,19,69,31,2580
2016,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,8,15 - 20,18,18,53,12,65,35,2583
2016,sch,sci,Regular,Ashland,23,Ashland Elementary School,20010,0,35 - 40,21,39,39,<10,39,61,NULL
2016,sch,sci,Regular,Ashland,23,Ashland Elementary School,20010,4,20 - 25,<10,38,57,<10,57,43,NULL
2016,sch,sci,Regular,Ashland,23,Ashland Elementary School,20010,8,15 - 20,41,41,18,<10,18,82,NULL
2016,sch,mat,Regular,Auburn,29,Auburn Village School,20530,0,405 - 410,10,31,33,26,60,40,NULL
2016,sch,mat,Regular,Auburn,29,Auburn Village School,20530,3,60 - 65,11,36,30,23,53,47,2450
2016,sch,mat,Regular,Auburn,29,Auburn Village School,20530,4,70 - 75,<10,30,45,17,62,38,2499
2016,sch,mat,Regular,Auburn,29,Auburn Village School,20530,5,55 - 60,11,25,30,34,64,36,2543
2016,sch,mat,Regular,Auburn,29,Auburn Village School,20530,6,75 - 80,12,44,24,20,44,56,2553
2016,sch,mat,Regular,Auburn,29,Auburn Village School,20530,7,70 - 75,<10,21,33,40,73,27,2608
2016,sch,mat,Regular,Auburn,29,Auburn Village School,20530,8,65 - 70,<10,28,39,24,63,37,2611
2016,sch,rea,Regular,Auburn,29,Auburn Village School,20530,0,400 - 405,<10,21,42,29,70,30,NULL
2016,sch,rea,Regular,Auburn,29,Auburn Village School,20530,3,60 - 65,17,28,28,27,55,45,2444
2016,sch,rea,Regular,Auburn,29,Auburn Village School,20530,4,70 - 75,13,19,38,31,68,32,2501
2016,sch,rea,Regular,Auburn,29,Auburn Village School,20530,5,55 - 60,11,20,43,27,70,30,2535
2016,sch,rea,Regular,Auburn,29,Auburn Village School,20530,6,70 - 75,<10,25,45,26,71,29,2577
2016,sch,rea,Regular,Auburn,29,Auburn Village School,20530,7,70 - 75,10,14,45,32,77,23,2603
2016,sch,rea,Regular,Auburn,29,Auburn Village School,20530,8,65 - 70,<10,20,51,29,80,20,2636
2016,sch,sci,Regular,Auburn,29,Auburn Village School,20530,0,135 - 140,<10,41,54,<10,54,46,NULL
2016,sch,sci,Regular,Auburn,29,Auburn Village School,20530,4,70 - 75,<10,25,72,<10,72,28,NULL
2016,sch,sci,Regular,Auburn,29,Auburn Village School,20530,8,65 - 70,<10,58,34,<10,34,66,NULL
2016,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,0,285 - 290,23,31,27,18,45,55,NULL
2016,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,3,35 - 40,<10,26,34,31,66,34,2464
2016,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,4,45 - 50,<10,35,31,27,58,42,2504
2016,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,5,50 - 55,45,17,28,<10,38,62,2480
2016,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,6,50 - 55,28,42,23,<10,30,70,2517
