yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1text,plevel2text,plevel3text,plevel4text,pAboveProftext,pbelowProfText,AvgScore
2021,sch,rea,Regular,Auburn,29,Auburn Village School,20530,3,60 - 65,28,26,28,18,46,54,578
2021,sch,rea,Regular,Auburn,29,Auburn Village School,20530,4,65 - 70,19,26,33,22,55,45,609
2021,sch,rea,Regular,Auburn,29,Auburn Village School,20530,5,55 - 60,14,27,37,22,59,41,635
2021,sch,rea,Regular,Auburn,29,Auburn Village School,20530,6,70 - 75,14,24,45,17,62,38,645
2021,sch,rea,Regular,Auburn,29,Auburn Village School,20530,7,55 - 60,< 10 %,23,55,13,68,32,658
2021,sch,rea,Regular,Auburn,29,Auburn Village School,20530,8,60 - 65,25,24,46,< 10 %,51,49,653
2021,sch,sci,Regular,Auburn,29,Auburn Village School,20530,0,120 - 125,39,25,25,10,35,65,
2021,sch,sci,Regular,Auburn,29,Auburn Village School,20530,5,55 - 60,36,17,29,19,47,53,552
2021,sch,sci,Regular,Auburn,29,Auburn Village School,20530,8,60 - 65,43,33,22,< 10 %,24,76,844
2021,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,0,210 - 215,33,38,22,< 10 %,28,72,
2021,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,3,40 - 45,36,36,16,11,27,73,416
2021,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,4,40 - 45,< 10 %,40,44,< 10 %,53,47,463
2021,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,5,25 - 30,32,36,25,< 10 %,32,68,470
2021,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,6,35 - 40,38,41,21,< 10 %,21,79,488
2021,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,7,40 - 45,50,36,< 10 %,< 10 %,14,86,505
2021,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,8,10 - 15,38,46,< 10 %,< 10 %,15,85,546
2021,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,0,205 - 210,42,29,20,< 10 %,29,71,
2021,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,3,40 - 45,46,22,12,20,32,68,569
2021,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,4,40 - 45,37,19,28,16,44,56,596
2021,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,5,25 - 30,46,25,29,< 10 %,29,71,592
2021,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,6,40 - 45,27,54,12,< 10 %,20,80,615
2021,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,7,40 - 45,51,22,24,< 10 %,27,73,612
2021,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,8,10 - 15,50,36,14,< 10 %,14,86,612
2021,sch,sci,Regular,Barnstead,31,Barnstead Elementary School,22485,0,40 - 45,61,22,15,< 10 %,17,83,
2021,sch,sci,Regular,Barnstead,31,Barnstead Elementary School,22485,5,25 - 30,63,26,< 10 %,< 10 %,11,89,541
2021,sch,sci,Regular,Barnstead,31,Barnstead Elementary School,22485,8,10 - 15,57,14,29,< 10 %,29,71,840
2021,sch,mat,Regular,Barrington,33,Barrington Elementary School,22045,0,165 - 170,27,32,26,15,41,59,
2021,sch,mat,Regular,Barrington,33,Barrington Elementary School,22045,3,80 - 85,32,29,26,13,39,61,422
2021,sch,mat,Regular,Barrington,33,Barrington Elementary School,22045,4,80 - 85,21,36,25,18,43,57,458
2021,sch,rea,Regular,Barrington,33,Barrington Elementary School,22045,0,165 - 170,31,26,23,21,43,57,
2021,sch,rea,Regular,Barrington,33,Barrington Elementary School,22045,3,80 - 85,31,29,19,21,40,60,580
2021,sch,rea,Regular,Barrington,33,Barrington Elementary School,22045,4,80 - 85,31,23,26,20,46,54,603
2021,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,0,340 - 345,25,28,28,19,47,53,
2021,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,5,80 - 85,20,38,20,21,42,58,488
2021,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,6,90 - 95,20,19,44,17,61,39,517
2021,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,7,75 - 80,28,27,27,18,45,55,539
2021,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,8,85 - 90,33,27,19,20,40,60,572
2021,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,0,340 - 345,27,25,34,15,49,51,
2021,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,5,80 - 85,23,27,36,14,51,49,621
2021,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,6,90 - 95,27,23,27,24,51,49,643
2021,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,7,75 - 80,25,26,34,14,49,51,637
2021,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,8,85 - 90,32,24,39,< 10 %,44,56,648
2021,sch,sci,Regular,Barrington,33,Barrington Middle School,22030,0,170 - 175,39,22,27,12,39,61,
2021,sch,sci,Regular,Barrington,33,Barrington Middle School,22030,5,80 - 85,40,24,23,13,36,64,548
2021,sch,sci,Regular,Barrington,33,Barrington Middle School,22030,8,85 - 90,38,20,31,11,42,58,850
2021,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,0,90 - 95,31,37,20,12,32,68,
2021,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,3,15 - 20,24,53,24,< 10 %,24,76,419
2021,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,4, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2021,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,5, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2021,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,6,15 - 20,44,44,11,< 10 %,11,89,479
2021,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,7,15 - 20,< 10 %,71,12,12,24,76,543
2021,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,8,25 - 30,36,20,28,16,44,56,558
2021,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,0,90 - 95,22,24,42,13,55,45,
2021,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,3,15 - 20,29,35,29,< 10 %,35,65,572
2021,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,4, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2021,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,5, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2021,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,6,15 - 20,22,17,50,11,61,39,645
2021,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,7,15 - 20,12,24,41,24,65,35,665
2021,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,8,25 - 30,15,23,50,12,62,38,661
2021,sch,sci,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,0,30 - 35,34,28,34,< 10 %,38,63,
2021,sch,sci,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,5, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2021,sch,sci,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,8,25 - 30,32,24,40,< 10 %,44,56,852
2021,sch,mat,Regular,Bath,39,Bath Village School,20860,0,40 - 45,< 10 %,25,45,23,68,33,
2021,sch,mat,Regular,Bath,39,Bath Village School,20860,3, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2021,sch,mat,Regular,Bath,39,Bath Village School,20860,4,10 - 15,< 10 %,50,42,< 10 %,50,50,462
2021,sch,mat,Regular,Bath,39,Bath Village School,20860,5,10 - 15,< 10 %,27,36,36,73,27,511
2021,sch,mat,Regular,Bath,39,Bath Village School,20860,6, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2021,sch,rea,Regular,Bath,39,Bath Village School,20860,0,40 - 45,28,15,40,18,58,43,
2021,sch,rea,Regular,Bath,39,Bath Village School,20860,3, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2021,sch,rea,Regular,Bath,39,Bath Village School,20860,4,10 - 15,50,17,33,< 10 %,33,67,584
2021,sch,rea,Regular,Bath,39,Bath Village School,20860,5,10 - 15,< 10 %,< 10 %,45,36,82,18,638
2021,sch,rea,Regular,Bath,39,Bath Village School,20860,6, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2021,sch,sci,Regular,Bath,39,Bath Village School,20860,0,10 - 15,18,< 10 %,45,27,73,27,
2021,sch,sci,Regular,Bath,39,Bath Village School,20860,5,10 - 15,18,< 10 %,45,27,73,27,559
2021,sch,mat,Regular,Bedford,41,Bedford High School,28555,0,345 - 350,< 10 %,34,39,21,60,40,
2021,sch,mat,Regular,Bedford,41,Bedford High School,28555,11,345 - 350,< 10 %,34,39,21,60,40,559
2021,sch,rea,Regular,Bedford,41,Bedford High School,28555,0,345 - 350,< 10 %,13,51,28,79,21,
2021,sch,rea,Regular,Bedford,41,Bedford High School,28555,11,345 - 350,< 10 %,13,51,28,79,21,559
2021,sch,sci,Regular,Bedford,41,Bedford High School,28555,0,235 - 240,20,21,47,12,59,41,
2021,sch,sci,Regular,Bedford,41,Bedford High School,28555,11,235 - 240,20,21,47,12,59,41,1158
2021,sch,mat,Regular,Bedford,41,McKelvie Intermediate School,21005,0,650 - 655,< 10 %,21,31,43,74,26,
2021,sch,mat,Regular,Bedford,41,McKelvie Intermediate School,21005,5,325 - 330,< 10 %,25,26,46,72,28,518
2021,sch,mat,Regular,Bedford,41,McKelvie Intermediate School,21005,6,325 - 330,< 10 %,18,36,40,76,24,547
2021,sch,rea,Regular,Bedford,41,McKelvie Intermediate School,21005,0,655 - 660,< 10 %,13,46,36,82,18,
2021,sch,rea,Regular,Bedford,41,McKelvie Intermediate School,21005,5,325 - 330,< 10 %,11,43,41,84,16,654
2021,sch,rea,Regular,Bedford,41,McKelvie Intermediate School,21005,6,325 - 330,< 10 %,14,50,31,81,19,669
2021,sch,sci,Regular,Bedford,41,McKelvie Intermediate School,21005,0,325 - 330,13,26,42,20,61,39,
2021,sch,sci,Regular,Bedford,41,McKelvie Intermediate School,21005,5,325 - 330,13,26,42,20,61,39,556
2021,sch,mat,Regular,Bedford,41,Memorial School,20990,0,135 - 140,< 10 %,14,30,50,79,21,
2021,sch,mat,Regular,Bedford,41,Memorial School,20990,3,55 - 60,< 10 %,14,22,59,81,19,461
2021,sch,mat,Regular,Bedford,41,Memorial School,20990,4,75 - 80,< 10 %,14,35,43,78,22,490
2021,sch,rea,Regular,Bedford,41,Memorial School,20990,0,135 - 140,< 10 %,16,22,56,78,22,
2021,sch,rea,Regular,Bedford,41,Memorial School,20990,3,55 - 60,< 10 %,16,22,59,81,19,617
2021,sch,rea,Regular,Bedford,41,Memorial School,20990,4,75 - 80,< 10 %,17,22,53,75,25,635
2021,sch,mat,Regular,Bedford,41,Peter Woodbury School,21000,0,215 - 220,< 10 %,21,38,35,73,27,
2021,sch,mat,Regular,Bedford,41,Peter Woodbury School,21000,3,95 - 100,< 10 %,19,41,31,73,27,446
